names,description,classification,drug_id,productNames
Interferon alfa-n1,"Interferon alfa-n1 consists of purified, natural (n is for natural) alpha interferon subtypes, at least two of which are glycosylated. This differs from recombinant alpha interferons, which are individual non-glycosylated proteins produced from individual alpha interferon genes.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00011,Wellferon Inj 10 000 000unit/ml
Darbepoetin alfa,"Human erythropoietin with 2 aa substitutions to enhance glycosylation (5 N-linked chains), 165 residues (MW=37 kD). Produced in Chinese hamster ovary (CHO) cells by recombinant DNA technology.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00012,Aranesp
Urokinase,"Urokinase is an endogenous peptide that is cleaved in the presence of plasmin between lysine 158 and isoleucine 159 to yield active urokinase.[A191943] Urokinase remains connected between these 2 chains by a sulfhydryl bond.[A191943]

Urokinase was granted FDA approval on 16 January 1978.[L12138]","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00013,Kinlytic
Goserelin,"Goserelin is a synthetic hormone. In men, it stops the production of the hormone testosterone, which may stimulate the growth of cancer cells. In women, goserelin decreases the production of the hormone estradiol (which may stimulate the growth of cancer cells) to levels similar to a postmenopausal state. When the medication is stopped, hormone levels return to normal.","This compound belongs to the class of organic compounds known as oligopeptides. These are organic compounds containing a sequence of between three and ten alpha-amino acids joined by peptide bonds.OligopeptidesOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analogues1-hydroxy-2-unsubstituted benzenoids3-alkylindolesAlpha amino acid amidesAmphetamines and derivativesAzacyclic compoundsCarbonyl compoundsCarboximidamidesCarboxylic acid hydrazidesDialkyl ethersGuanidinesHeteroaromatic compoundsHistidine and derivativesHydrazinecarboxamidesHydrocarbon derivativesImidazolesLactamsLeucine and derivativesN-acyl aminesN-acyl-alpha amino acids and derivativesN-acylpyrrolidinesOrganic carbonic acids and derivativesOrganic oxidesOrganopnictogen compoundsPhenylalanine and derivativesPrimary alcoholsProline and derivativesPropargyl-type 1,3-dipolar organic compoundsPyrrolidine-2-onesPyrrolidinecarboxamidesSecondary carboxylic acid amidesSemicarbazidesSerine and derivativesSubstituted pyrrolesTertiary carboxylic acid amidesTryptamines and derivativesTyrosine and derivatives1-hydroxy-2-unsubstituted benzenoid2-pyrrolidone3-alkylindoleAlcoholAlpha-amino acid amideAlpha-amino acid or derivativesAlpha-oligopeptideAmphetamine or derivativesAromatic heteropolycyclic compoundAzacycleAzoleBenzenoidCarbonic acid derivativeCarbonyl groupCarboxamide groupCarboximidamideCarboxylic acid hydrazideDialkyl etherEtherFatty acylFatty amideGuanidineHeteroaromatic compoundHistidine or derivativesHydrazinecarboxamideHydrocarbon derivativeImidazoleIndoleIndole or derivativesLactamLeucine or derivativesMonocyclic benzene moietyN-acyl-alpha amino acid or derivativesN-acyl-amineN-acylpyrrolidineN-substituted-alpha-amino acidOrganic 1,3-dipolar compoundOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganoheterocyclic compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPhenolPhenylalanine or derivativesPrimary alcoholProline or derivativesPropargyl-type 1,3-dipolar organic compoundPyrrolePyrrolidinePyrrolidine carboxylic acid or derivativesPyrrolidine-2-carboxamidePyrrolidoneSecondary carboxylic acid amideSemicarbazideSerine or derivativesSubstituted pyrroleTertiary carboxylic acid amideTriptanTyrosine or derivatives",DB00014,Zoladex
Reteplase,"Human tissue plasminogen activator, purified, glycosylated, 355 residues purified from CHO cells. Retavase is considered a ""third-generation"" thrombolytic agent, genetically engineered to retain and delete certain portions of human tPA. Retavase is a deletion mutein of human tPA formed by deleting various amino acids present in endogenous human tPA. Retavase contains 355 of the 527 amino acids of native human tPA (amino acids 1-3 and 176-527), and retains the activity-related kringle-2 and serine protease domains of human tPA. Three domains are deleted from retavase - kringle-1, finger, and epidermal growth factor (EGF).","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00015,Rapilysin
Erythropoietin,"Erythropoietin (EPO) is a growth factor produced in the kidneys that stimulates the production of red blood cells. It works by promoting the division and differentiation of committed erythroid progenitors in the bone marrow [FDA Label]. Epoetin alfa (Epoge) was developed by Amgen Inc. in 1983 as the first rhEPO commercialized in the United States, followed by other alfa and beta formulations. Epoetin alfa is a 165-amino acid erythropoiesis-stimulating glycoprotein produced in cell culture using recombinant DNA technology and is used for the treatment of patients with anemia associated with various clinical conditions, such as chronic renal failure, antiviral drug therapy, chemotherapy, or a high risk for perioperative blood loss from surgical procedures [FDA Label]. It has a molecular weight of approximately 30,400 daltons and is produced by mammalian cells into which the human erythropoietin gene has been introduced. The product contains the identical amino acid sequence of isolated natural erythropoietin and has the same biological activity as the endogenous erythropoietin. Epoetin alfa biosimilar, such as Retacrit (epoetin alfa-epbx or epoetin zeta), has been formulated to allow more access to treatment options for patients in the market [L2784]. The biosimilar is approved by the FDA and EMA as a safe, effective and affordable biological product and displays equivalent clinical efficacy, potency, and purity to the reference product [A7504]. Epoetin alfa formulations can be administered intravenously or subcutaneously.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00016,Abseamed
Salmon calcitonin,"Synthetic peptide, 32 residues long formulated as a nasal spray.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00017,Apo-calcitonin Injectable
Interferon alfa-n3,"Purified, natural (n is for natural) human interferon alpha proteins (consists of 3 forms or polymorphisms including 2a, 2b and 2c). 166 residues, some are glycosylated (MW range from 16 kD to 27 kD).","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00018,Alferon
Pegfilgrastim,"Pegfilgrastim is a PEGylated form of the recombinant human granulocyte colony-stimulating factor (G-CSF) analogue, [filgrastim].[A187601] The drug is approved for use to decrease the incidence of infection, as manifested by febrile neutropenia, in susceptible patients with with non-myeloid cancer receiving myelosuppressive anti-cancer treatment.[L9746] Although the risk of developing febrile neutropenia is less than 20% in many readily used chemotherapy regimens,[A248855] infections pose risks of hospitalization and mortalities.[A187631] Due to the relatively short circulating half-life of filgrastim, a 20 kDa PEG moiety was covalently conjugated to the N-terminus of filgrastim (at the methionine residue) to develop longer-acting pegfilgrastim.[A29,A187607] Due to a longer half-life and slower elimination rate than filgrastim, pegfilgrastim requires less frequent dosing than filgrastim; however, pegfilgrastim has a comparable pharmacological activity to filgrastim and binds to the G-CSF receptor to stimulate the proliferation, differentiation, and activation of neutrophils.[A187607]

First developed by Amgen, pegfilgrastim was initially approved by the FDA in 2002 and marketed as Neulasta. It is typically administered via a subcutaneous injection. There are several pegfilgrastim biosimilars (Fulphila, Pelgraz or Lapelga, Pelmeg, Udenyca, Ziextenzo, Grasustek, Fylnetra, Stimufend) by Health Canada, European Union (EU), and FDA that are approved to reduce infection risk.[L9779,L9785,L43050] These biosimilars are highly similar to the reference product, Neulasta, in terms of pharmacological and pharmacokinetic profile and conditions of use.[L9974]","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00019,Cegfila
Sargramostim,Sargramostim is a human recombinant granulocyte macrophage colony-stimulating factor (GM-CSF) expressed in yeast. It is a glycoprotein that is 127 residues. Substitution of Leu23 leads to a difference from native protein.,"PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00020,Leukine
Peginterferon alfa-2b,"Peginterferon alfa-2b is a form of recombinant interferon used as part of combination therapy to treat chronic Hepatitis C, an infectious liver disease caused by infection with Hepatitis C Virus (HCV). HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. Treatment options for chronic Hepatitis C have advanced significantly since 2011, with the development of Direct Acting Antivirals (DAAs) resulting in less use of Peginterferon alfa-2b. Peginterferon alfa-2b is derived from the alfa-2b moeity of recombinant human interferon and acts by binding to human type 1 interferon receptors. Activation and dimerization of this receptor induces the body's innate antiviral response by activating the janus kinase/signal transducer and activator of transcription (JAK/STAT) pathway. Use of Peginterferon alfa-2b is associated with a wide range of severe adverse effects including the aggravation and development of endocrine and autoimmune disorders, retinopathies, cardiovascular and neuropsychiatric complications, and increased risk of hepatic decompensation in patients with cirrhosis. The use of Peginterferon alfa-2b has largely declined since newer interferon-free antiviral therapies have been developed.

In a joint recommendation published in 2016, the American Association for the Study of Liver Diseases (AASLD) and the Infectious Diseases Society of America (IDSA) no longer recommend Peginterferon alfa-2b for the treatment of Hepatitis C [A19593]. Peginterferon alfa-2b was used alongside [DB00811] with the intent to cure, or achieve a sustained virologic response (SVR), after 48 weeks of therapy. SVR and eradication of HCV infection is associated with significant long-term health benefits including reduced liver-related damage, improved quality of life, reduced incidence of Hepatocellular Carcinoma, and reduced all-cause mortality [A19626].

Peginterferon alfa-2b is available as a variable dose injectable product (tradename Pegintron) used for the treatment of chronic Hepatitis C. Approved in 2001 by the FDA, Pegintron is indicated for the treatment of HCV with [Ribavirin] or other antiviral drugs [FDA Label]. When combined together, Peginterferon alfa-2b and [Ribavirin] have been shown to achieve a SVR between 41% for genotype 1 and 75% for genotypes 2-6 after 48 weeks of treatment.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00022,Pegetron
Asparaginase Escherichia coli,"Asparaginase derived from _Escherichia coli_ (L-asparagine amidohydrolase, EC 3.5.1.1) is an enzyme responsible for the metabolism of L-asparagine, by catalyzing L-asparagine into L-aspartic acid and ammonia. It also facilitates the production of oxaloacetate which is needed for general cellular metabolism. Asparaginase from _E. coli_ has clinically shown to exhibit antitumor actions in models of leukaemias [A31996, A31997]. L-asparaginase of _E. coli_ is marketed under several different trade names, including Elspar, for the treatment of acute lymphoblastic leukemia (ALL) as part of a multi-agent chemotherapeutic regimen. It is available as intramuscular or intravenous injections. Therapeutic L-asparaginase from _E. coli_ works by depleting the levels of non-essential amino acid, asparagine, in lymphoblastic leukemic cells thus promoting apoptotic cell death [A31999]. For patients who develop hypersensitivity to _E. coli_-derived formulations of L-asparaginase, the use of PEGylated or non-PEGylated [DB08886] is recommended [A31999].","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00023,Elspar
Thyrotropin alfa,"Thyrotropin alfa is a recombinant form of thyroid stimulating hormone used in performing certain tests in patients who have or have had thyroid cancer. It is also used along with a radioactive agent to destroy remaining thyroid tissue in certain patients who have had their thyroid gland removed because of thyroid cancer. It is a heterodimeric glycoprotein comprised of two non-covalently linked subunits, an alpha subunit of 92 amino acid residues containing two N-linked glycosylation sites and a beta subunit of 112 residues containing one N-linked glycosylation site. The alpha subunit of thyrotropin alfa, which is the effector region responsible for the stimulation of adenylate cyclase, displays close structural similarity with the alpha subunit of human chorionic gonadotropin (hCG), luteinizing hormone (LH), and follicle-stimulating hormone (FSH). The beta subunit (TSHB) bestows its receptor specificity due to the uniqueness to TSH. The amino acid sequence of thyrotropin alfa is identical to that of human pituitary thyroid stimulating hormone.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00024,Thyrogen
"Antihemophilic factor, human recombinant","Human recombinant antihemophilic factor (AHF) or Factor VIII, 2332 residues, glycosylated, produced by CHO cells","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00025,Advate
Anakinra,"Anakinra is a recombinant human interleukin-1 (IL-1) receptor antagonist (IL-1Ra) composed of 153 amino acid residues. Unlike native human IL-1Ra, anakinra has an additional methionine residue at the amino terminus. This drug binds to the IL-1 receptor, competing with and inhibiting the activity of IL-1 alpha and beta.[L35415] Anakinra is indicated for the management of rheumatoid arthritis (RA) in patients 18 years of age or older who have failed one or more disease-modifying antirheumatic drugs (DMARDs), as well as the treatment of neonatal-onset multisystem inflammatory disease (NOMID) and deficiency of interleukin-1 receptor antagonist (DIRA).[L35415] Since IL-1 has an important role in inflammation and immunological responses, anakinra is also used for the off-label treatment of inflammatory diseases.[A247000]

Anakinra is produced using the _E. Coli_ bacterial expression system. On November 14, 2001, it was approved by the FDA for the treatment of rheumatoid arthritis. It was later approved for the treatment of NOMID and DIRA on December 21, 2012, and December 18, 2020, respectively. A few studies have evaluated the use of anakinra for the treatment of coronavirus disease 2019 (COVID-19).[A247265] On November 8, 2022, the FDA issued an emergency use authorization (EUA) of anakinra for the treatment of COVID-19 in hospitalized patients who are at risk of progressing to severe respiratory failure.[L43932]","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00026,Kineret
Gramicidin D,"Gramcidin D is a heterogeneous mixture of three antibiotic compounds, gramicidins A, B and C, making up 80%, 6%, and 14% respectively all of which are obtained from the soil bacterial species Bacillus brevis and called collectively gramicidin D. Gramcidins are 15 residue peptides with alternating D and L amino acids, which assemble inside of the hydrophobic interior of the cellular lipid bilayer to form a β-helix. Active against most Gram-positive bacteria and some Gram-negative organisms, Gramicidin D is used primarily as a topical antibiotic and is also found in Polysporin ophthalmic solution.",This compound belongs to the class of organic compounds known as polypeptides. These are peptides containing ten or more amino acid residues.PolypeptidesOrganic compoundsOrganic PolymersPolypeptides3-alkylindolesAlanine and derivativesAlpha amino acid amidesAzacyclic compoundsBenzenoidsCarbonyl compoundsHeteroaromatic compoundsHydrocarbon derivativesLeucine and derivativesN-acyl aminesN-acyl-alpha amino acids and derivativesN-acylethanolaminesN-formyl-alpha amino acidsOrganic oxidesPeptidesPrimary alcoholsSecondary carboxylic acid amidesSubstituted pyrrolesTryptamines and derivativesValine and derivatives3-alkylindoleAlanine or derivativesAlcoholAlkanolamineAlpha peptideAlpha-amino acid amideAlpha-amino acid or derivativesAromatic heteropolycyclic compoundAzacycleBenzenoidCarbonyl groupCarboxamide groupCarboxylic acid derivativeFatty acylFatty amideHeteroaromatic compoundHydrocarbon derivativeIndoleIndole or derivativesLeucine or derivativesN-acyl-alpha amino acid or derivativesN-acyl-amineN-acylethanolamineN-formyl-alpha amino acid or derivativesN-formyl-alpha-amino acidN-substituted-alpha-amino acidOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganoheterocyclic compoundOrganonitrogen compoundOrganooxygen compoundPolypeptidePrimary alcoholPyrroleSecondary carboxylic acid amideSubstituted pyrroleTriptanValine or derivatives,DB00027,Antibiotic Cream
Human immunoglobulin G,"Intravenous immunoglobulin (IVIg) is a mixture of IgG1 and other antibodies derived from healthy human plasma via Cohn fractionation. The purification process includes cold alcohol fractionation, polyethylene glycol precipitation, and ion exchange chromatography. IVIg contains the same distribution of IgG antibody subclasses as is found in the general human population. IgG subclasses are fully represented in the following proportions: 70.3% IgG1, 24.7% IgG2, 3.1% IgG3, and 1.9% IgG4. IVIg is used in the treatment of immunodeficiencies, as well as autoimmune and inflammatory disorders.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00028,Asceniv
Anistreplase,"Human tissue plasminogen activator, purified, glycosylated, 527 residues purified from CHO cells. Eminase is a lyophilized (freeze-dried) formulation of anistreplase, the p-anisoyl derivative of the primary Lys-plasminogen-streptokinase activator complex (a complex of Lys-plasminogen and streptokinase). A p-anisoyl group is chemically conjugated to a complex of bacterial-derived streptokinase and human Plasma-derived Lys-plasminogen proteins.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00029,Eminase 30 Units
