"name","IsGeneric","route","strength","dosage_form","over_the_counter","labeller"
"Enbrel","false","Subcutaneous","50 mg/1mL","Solution","false","A-S Medication Solutions"
"Enbrel","false","Subcutaneous","50 mg/1mL","Solution","false","Immunex Corporation"
"Enbrel","false","Subcutaneous","50 mg/1mL","Solution","false","Immunex Corporation"
"Enbrel","false","Subcutaneous","25 mg/1mL","Injection, powder, lyophilized, for solution; Kit","false","Immunex Corporation"
"Enbrel","false","Subcutaneous","25 mg/0.5mL","Solution","false","Immunex Corporation"
"Enbrel","false","Subcutaneous","50 mg/1mL","Solution","false","Immunex Corporation"
"Enbrel","false","Subcutaneous","50 mg/1mL","Solution","false","Immunex Corporation"
"Enbrel","false","Subcutaneous","50 mg/1mL","Solution","false","Immunex Corporation"
"Enbrel","false","Subcutaneous","50 mg/1mL","Solution","false","Immunex Corporation"
"Enbrel","false","Subcutaneous","25 mg/0.5mL","Solution","false","Immunex Corporation"
"Enbrel","false","Subcutaneous","50 mg/1mL","Solution","false","Immunex Corporation"
"Enbrel","false","Subcutaneous","25 mg/0.5mL","Solution","false","Immunex Corporation"
"Enbrel","false","Subcutaneous","50 mg/1mL","Solution","false","A-S Medication Solutions"
"Enbrel","false","Subcutaneous","50 mg / mL","Solution","false","Immunex Corporation"
"Enbrel","false","Subcutaneous","","Kit; Liquid; Powder, for solution","false","Immunex Corporation"
"Enbrel","false","Subcutaneous","25 mg","Injection, powder, for solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","25 mg","Injection, powder, for solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","25 mg","Injection, powder, for solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","25 mg","Injection, powder, for solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","25 mg","Injection, powder, for solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","50 mg","Injection, powder, for solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","50 mg","Injection, powder, for solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","50 mg","Injection, powder, for solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","50 mg","Injection, powder, for solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","50 mg","Injection, powder, for solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","50 mg","Injection, powder, for solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","25 mg","Injection, solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","25 mg","Injection, solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","25 mg","Injection, solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","50 mg","Injection, solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","50 mg","Injection, solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","50 mg","Injection, solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","50 mg","Injection, solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","50 mg","Injection, solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","50 mg","Injection, solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","10 mg","Injection, powder, for solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","25 mg","Injection, solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","25 mg","Injection, solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","25 mg","Injection, solution","false","Pfizer Europe Ma Eeig"
"Enbrel","false","Subcutaneous","25 mg","Injection, solution","false","Pfizer Europe Ma Eeig"
"Erelzi","false","Subcutaneous","50 mg / mL","Solution","false","Sandoz Canada Incorporated"
"Erelzi","false","Subcutaneous","50 mg / mL","Solution","false","Sandoz Canada Incorporated"
"Erelzi","false","Subcutaneous","25 mg / 0.5 mL","Solution","false","Sandoz Canada Incorporated"
"Erelzi","false","Subcutaneous","25 mg","Injection, solution","false","Sandoz"
"Erelzi","false","Subcutaneous","25 mg","Injection, solution","false","Sandoz"
"Erelzi","false","Subcutaneous","25 mg","Injection, solution","false","Sandoz"
"Erelzi","false","Subcutaneous","25 mg","Injection, solution","false","Sandoz"
"Erelzi","false","Subcutaneous","50 mg","Injection, solution","false","Sandoz"
"Erelzi","false","Subcutaneous","50 mg","Injection, solution","false","Sandoz"
"Erelzi","false","Subcutaneous","50 mg","Injection, solution","false","Sandoz"
"Erelzi","false","Subcutaneous","50 mg","Injection, solution","false","Sandoz"
"Erelzi","false","Subcutaneous","50 mg","Injection, solution","false","Sandoz"
"Erelzi","false","Subcutaneous","50 mg","Injection, solution","false","Sandoz"
"Erelzi","false","Subcutaneous","50 mg","Injection, solution","false","Sandoz"
"Erelzi","false","Subcutaneous","50 mg","Injection, solution","false","Sandoz"
"Erelzi","false","Subcutaneous","25 mg","Injection, solution","false","Sandoz"
"Erelzi","false","Subcutaneous","25 mg","Injection, solution","false","Sandoz"
"Eticovo","false","Subcutaneous","25 mg/0.5mL","Injection, solution","false","Samsung Bioepis Co., Ltd."
"Eticovo","false","Subcutaneous","50 mg/1mL","Injection, solution","false","Samsung Bioepis Co., Ltd."
"Nepexto","false","Subcutaneous","25 mg","Injection, solution","false","Biosimilar Collaborations Ireland Limited"
"Nepexto","false","Subcutaneous","25 mg","Injection, solution","false","Biosimilar Collaborations Ireland Limited"
"Nepexto","false","Subcutaneous","50 mg","Injection, solution","false","Biosimilar Collaborations Ireland Limited"
"Nepexto","false","Subcutaneous","50 mg","Injection, solution","false","Biosimilar Collaborations Ireland Limited"
"Nepexto","false","Subcutaneous","50 mg","Injection, solution","false","Biosimilar Collaborations Ireland Limited"
"Nepexto","false","Subcutaneous","50 mg","Injection, solution","false","Biosimilar Collaborations Ireland Limited"
"Nepexto","false","Subcutaneous","25 mg","Injection, solution","false","Biosimilar Collaborations Ireland Limited"
"Nepexto","false","Subcutaneous","25 mg","Injection, solution","false","Biosimilar Collaborations Ireland Limited"
"Rymti","false","Subcutaneous","25 mg / 0.5 mL","Solution","false","Lupin Pharma"
"Rymti","false","Subcutaneous","50 mg / 1 mL","Solution","false","Lupin Pharma"
"Rymti","false","Subcutaneous","50 mg / 1 mL","Solution","false","Lupin Pharma"
"Truemed Group LLC","false","Intramuscular","25 mg/25mg","Injection, powder, for solution","false","Truemed Group LLC"
"Angiomax","false","Intravenous","250 mg/1","Injection, powder, lyophilized, for solution","false","Cardinal Health"
"Angiomax","false","Intravenous","250 mg/1","Injection, powder, lyophilized, for solution","false","The Medicines Company"
"Angiomax","false","Intravenous","250 mg/1","Injection","false","Sandoz Inc"
"Angiomax","false","Intravenous","250 mg / vial","Powder, for solution","false","Sandoz Canada Incorporated"
"Angiomax RTU","false","Intravenous","250 mg/1","Injection, solution","false","MAIA Pharmaceuticals, Inc."
"Angiox","false","Intravenous","250 mg","","false","The Medicines Company"
"Bivalirudin","true","Intravenous","250 mg/5mL","Injection, powder, lyophilized, for solution","false","Accord Healthcare, Inc."
"Bivalirudin","true","Intravenous","250 mg/1","Injection","false","Cipla USA Inc."
"Bivalirudin","true","Intravenous","250 mg/5mL","Injection, powder, lyophilized, for solution","false","Mylan Institutional LLC"
"Bivalirudin","true","Intravenous","250 mg/1","Injection, powder, lyophilized, for solution","false","Eugia US LLC"
"Bivalirudin","true","Intracavernous","250 mg/1","Injection","false","Dr. Reddy's Laboratories Limited"
"Bivalirudin","true","Intravenous","250 mg/1","Injection, powder, lyophilized, for solution","false","Sandoz Inc"
"Bivalirudin","true","Intravenous","250 mg/1","Injection, powder, lyophilized, for solution","false","Sandoz Inc"
"Bivalirudin","true","Intravenous","250 mg/1","Injection, powder, lyophilized, for solution","false","Hainan Shuangcheng Pharmaceuticals Co., Ltd."
"Bivalirudin","true","Intravenous","250 mg/1","Injection, powder, lyophilized, for solution","false","Athenex Pharmaceutical Division, Llc."
"Bivalirudin","true","Intravenous","250 mg/1","Injection, powder, lyophilized, for solution","false","Fresenius Kabi USA, LLC"
"Bivalirudin","true","Intravenous","250 mg/1","Injection, powder, lyophilized, for solution","false","Apotex Corp"
"Bivalirudin","true","Intravenous","250 mg/1","Injection, powder, lyophilized, for solution","false","Hospira, Inc."
"Bivalirudin","true","Intravenous","250 mg/1","Injection, powder, lyophilized, for solution","false","Sagent Pharmaceuticals"
"Bivalirudin","true","Intravenous","250 mg/5mL","Injection, powder, lyophilized, for solution","false","Meitheal Pharmaceuticals Inc."
"Bivalirudin","true","Intravenous","250 mg/1","Injection, powder, lyophilized, for solution","false","Civica, Inc."
"Bivalirudin","true","Intravenous","250 mg/1","Injection, powder, lyophilized, for suspension","false","Slate Run Pharmaceuticals, Llc"
"Bivalirudin","false","Intravenous","250 mg / vial","Powder, for solution","false","Sandoz Canada Incorporated"
"Bivalirudin","false","Intravenous","250 mg/1","Injection, solution","false","Par Pharmaceutical, Inc."
"Bivalirudin for Injection","false","Intravenous","250 mg / vial","Powder, for solution","false","Fresenius Kabi"
"Bivalirudin for Injection","false","Intravenous","250 mg / vial","Powder, for solution","false","Juno Pharmaceuticals Corp."
"Bivalirudin for Injection","false","Intravenous","250 mg / vial","Powder, for solution","false","Dr Reddy's Laboratories Ltd"
"Bivalirudin for Injection","false","Intravenous","250 mg / vial","Powder, for solution","false","Formative Pharma Inc."
"Bivalirudin in 0.9% Sodium Chloride","false","Intravenous","250 mg/50mL","Injection","false","Baxter Healthcare Corporation"
"Bivalirudin in 0.9% Sodium Chloride","false","Intravenous","500 mg/100mL","Injection","false","Baxter Healthcare Corporation"
"Bivalirudin Injection","false","Intravenous","5 mg / mL","Solution","false","Avir Pharma Inc."
"Bivalirudin RTU","false","Intravenous","5 mg/1mL","Injection, solution","false","Athenex Pharmaceutical Division, Llc."
"Camcevi","false","Subcutaneous","42 mg / syr","","false","Accord Healthcare Inc"
"Camcevi","false","Subcutaneous","42 mg/0.37g","Injection, emulsion","false","Accord BioPharma, Inc."
"Camcevi","false","Subcutaneous","42 mg/1mL","Injection, emulsion","false","Foresee Pharmaceuticals Co., Ltd."
"Camcevi","false","Subcutaneous","42 mg","","false","Accord Healthcare S.L.U."
"Eligard","false","Subcutaneous","7.5 mg/0.25mL","Kit","false","Sanofi Aventis"
"Eligard","false","Subcutaneous","22.5 mg/0.375mL","Kit","false","Sanofi Aventis"
"Eligard","false","Subcutaneous","30 mg/0.5mL","Kit","false","Sanofi Aventis"
"Eligard","false","Subcutaneous","45 mg/0.375mL","Kit","false","Sanofi Aventis"
"Eligard","false","Subcutaneous","7.5 mg/0.25mL","Kit","false","TOLMAR PHARMACEUTICALS INC."
"Eligard","false","Subcutaneous","22.5 mg/0.375mL","Kit","false","TOLMAR PHARMACEUTICALS INC."
"Eligard","false","Subcutaneous","30 mg/0.5mL","Kit","false","TOLMAR PHARMACEUTICALS INC."
"Eligard","false","Subcutaneous","45 mg/0.375mL","Kit","false","TOLMAR PHARMACEUTICALS INC."
"Eligard","false","Subcutaneous","7.5 mg/0.25mL","Kit","false","TOLMAR Inc."
"Eligard","false","Subcutaneous","22.5 mg/0.375mL","Kit","false","TOLMAR Inc."
"Eligard","false","Subcutaneous","30 mg/0.5mL","Kit","false","TOLMAR Inc."
"Eligard","false","Subcutaneous","45 mg/0.375mL","Kit","false","TOLMAR Inc."
"Eligard","false","Subcutaneous","7.5 mg / syr","Injection, powder, for suspension, extended release","false","Tolmar International Ltd."
"Eligard","false","Subcutaneous","22.5 mg / syr","Injection, powder, for suspension, extended release","false","Tolmar International Ltd."
"Eligard","false","Subcutaneous","30 mg / syr","Injection, powder, for suspension, extended release","false","Tolmar International Ltd."
"Eligard","false","Subcutaneous","45 mg / syr","Injection, powder, for suspension, extended release","false","Tolmar International Ltd."
"Eligard","false","Subcutaneous","45 mg/0.375mL","Injection, suspension, extended release","false","TOLMAR Inc."
"Eligard","false","Subcutaneous","7.5 mg/0.25mL","Injection, suspension, extended release","false","TOLMAR Inc."
"Eligard","false","Subcutaneous","22.5 mg/0.375mL","Injection, suspension, extended release","false","TOLMAR Inc."
"Eligard","false","Subcutaneous","30 mg/0.5mL","Injection, suspension, extended release","false","TOLMAR Inc."
"Fensolvi","false","Subcutaneous","45 mg/0.375mL","Injection, suspension, extended release; Kit","false","TOLMAR Inc."
"Fensolvi","false","Subcutaneous","45 mg/0.375mL","Injection, suspension, extended release","false","TOLMAR Inc."
"Leuprolide Acetate","true","Subcutaneous; Topical","","Kit","false","Genzyme Corporation"
"Leuprolide Acetate","true","Subcutaneous","1 mg/.2mL","Injection, solution","false","Eon Labs, Inc."
"Leuprolide Acetate","true","Subcutaneous; Topical","1 mg/0.2mL","Kit","false","Teva Parenteral Medicines, Inc."
"Leuprolide Acetate","true","Subcutaneous; Topical","","Kit","false","Sun Pharma Global Inc."
"Leuprolide Acetate","false","Subcutaneous; Topical","","Kit","false","Genzyme Corporation"
"Leuprolide Acetate","true","Subcutaneous; Topical","","Injection, solution; Kit","false","Sun Pharmaceutical Industries, Inc."
"Leuprolide Acetate","true","Subcutaneous; Topical","","Kit","false","Sandoz Inc"
"Leuprolide Acetate","true","Subcutaneous; Topical","","Injection, solution; Kit","false","VGYAAN Pharmaceuticals LLC"
"Leuprolide Acetate","true","Subcutaneous; Topical","","Kit","false","bryant ranch prepack"
"Leuprolide Acetate","true","Subcutaneous; Topical","","Injection, solution; Kit","false","Eugia US LLC"
"Leuprolide Acetate","true","Subcutaneous; Topical","","Injection, solution; Kit; Swab","false","Northstar RxLLC"
"Leuprolide Acetate","true","Subcutaneous","","Kit","false","Amneal Pharmaceuticals LLC"
"Leuprolide Acetate Depot","false","Intramuscular","22.5 mg/2mL","Injection, powder, lyophilized, for suspension, extended release; Kit","false","Cipla USA Inc."
"Leuprolide Acetate Injection","false","Subcutaneous","5 mg / mL","Liquid","false","Novopharm Limited"
"Lupaneta Pack","false","Intramuscular; Oral; Topical","","Injection, powder, lyophilized, for suspension; Kit; Tablet","false","AbbVie Inc."
"Lupaneta Pack","false","Intramuscular; Oral; Topical","","Injection, powder, lyophilized, for suspension; Kit; Tablet","false","AbbVie Inc."
"Lupron","false","Subcutaneous; Topical","5 mg/1mL","Kit","false","Abbvie"
"Lupron","false","Subcutaneous; Topical","5 mg/1mL","Kit","false","Tap Pharmaceutical Products Inc."
"Lupron","false","Subcutaneous","5 mg / mL","Solution","false","Abbvie"
"Lupron Depot","false","Intramuscular; Topical","3.75 mg/1mL","Kit","false","Physicians Total Care, Inc."
"Lupron Depot","false","Intramuscular","3.75 mg/1mL","Injection, powder, lyophilized, for suspension","false","TAP Pharmaceuticals Inc."
"Lupron Depot","false","Intramuscular","3.75 mg/1mL","Injection, powder, lyophilized, for suspension","false","Abbott Laboratories"
"Lupron Depot","false","Intramuscular","7.5 mg/1mL","Injection, powder, lyophilized, for suspension","false","Abbott Laboratories"
"Lupron Depot","false","Intramuscular","11.25 mg/1mL","Injection, powder, lyophilized, for suspension","false","Abbott Laboratories"
"Lupron Depot","false","Intramuscular","15 mg/1mL","Injection, powder, lyophilized, for suspension","false","Abbott Laboratories"
"Lupron Depot","false","Intramuscular","30 mg/1.5mL","Injection, powder, lyophilized, for suspension","false","Abbott Laboratories"
"Lupron Depot","false","Intramuscular; Topical","","Injection, powder, lyophilized, for suspension; Kit","false","AbbVie Inc."
"Lupron Depot","false","Intramuscular","45 mg/1.5mL","Kit","false","AbbVie Inc."
"Lupron Depot","false","Intramuscular","30 mg/1.5mL","Kit","false","AbbVie Inc."
"Lupron Depot","false","Intramuscular","7.5 mg/1mL","Kit","false","AbbVie Inc."
"Lupron Depot","false","Intramuscular","22.5 mg/1.5mL","Kit","false","AbbVie Inc."
"Lupron Depot","false","Intramuscular","11.25 mg/1.5mL","Injection, powder, lyophilized, for suspension; Kit","false","AbbVie Inc."
"Lupron Depot","false","Intramuscular","7.5 mg / syr","Injection, powder, for suspension, extended release","false","Abbvie"
"Lupron Depot","false","Intramuscular","3.75 mg / syr","Injection, powder, for suspension, extended release","false","Abbvie"
"Lupron Depot","false","Intramuscular","22.5 mg / syr","Injection, powder, for suspension, extended release","false","Abbvie"
"Lupron Depot","false","Intramuscular","30 mg / syr","Injection, powder, for suspension, extended release","false","Abbvie"
"Lupron Depot","false","Intramuscular","11.25 mg / syr","Injection, powder, for suspension, extended release","false","Abbvie"
"Lupron Depot","false","Intramuscular","11.25 mg / vial","Injection, powder, for suspension, extended release","false","Abbvie"
"Lupron Depot","false","Intramuscular","15 mg / vial","Injection, powder, for suspension, extended release","false","Abbvie"
"Lupron Depot Ped","false","Intramuscular","11.25 mg/1mL","Injection, powder, lyophilized, for suspension","false","Takeda Pharmaceutical Company LTD"
"Lupron Depot Ped","false","Intramuscular","15 mg/1mL","Injection, powder, lyophilized, for suspension","false","Takeda Pharmaceutical Company LTD"
"Lupron Depot Ped","false","Intramuscular","7.5 mg/1mL","Injection, powder, lyophilized, for suspension","false","Takeda Pharmaceutical Company LTD"
"Lupron Depot-PED","false","Intramuscular; Topical","11.25 mg/1mL","Kit","false","Remedy Repack"
"Lupron Depot-PED","false","Intramuscular","11.25 mg/1mL","Injection, powder, lyophilized, for suspension; Kit","false","AbbVie Inc."
"Lupron Depot-PED","false","Intramuscular","15 mg/1mL","Injection, powder, lyophilized, for suspension; Kit","false","AbbVie Inc."
"Lupron Depot-PED","false","Intramuscular","7.5 mg/1mL","Injection, powder, lyophilized, for suspension; Kit","false","AbbVie Inc."
"Lupron Depot-PED","false","Intramuscular","11.25 mg/1.5mL","Injection, powder, lyophilized, for suspension; Kit","false","AbbVie Inc."
"Lupron Depot-PED","false","Intramuscular","30 mg/1.5mL","Injection, powder, lyophilized, for suspension; Kit","false","AbbVie Inc."
"Lupron Depot-PED","false","Intramuscular","45 mg/1.5mL","Injection, powder, lyophilized, for suspension; Kit","false","AbbVie Inc."
"Viadur","false","Subcutaneous; Topical","","Kit","false","Bayer Pharmaceuticals Corporation"
"Zeulide Depot","false","Intramuscular","3.75 mg / vial","Injection, powder, for suspension, extended release; Kit","false","Verity Pharmaceuticals Inc."
"Zeulide Depot","false","Intramuscular","22.5 mg / vial","Injection, powder, for suspension, extended release; Kit","false","Verity Pharmaceuticals Inc."
"Pegasys","false","Subcutaneous","135 ug/0.5mL","Injection, solution","false","Genentech, Inc."
"Pegasys","false","Subcutaneous","180 ug/0.5mL","Injection, solution","false","Roche Pharmaceuticals"
"Pegasys","false","Subcutaneous","180 ug/1mL","Injection, solution","false","Genentech, Inc."
"Pegasys","false","Subcutaneous","180 ug/0.5mL","Injection, solution","false","Genentech, Inc."
"Pegasys","false","Subcutaneous","180 ug/0.5mL","Injection, solution","false","Genentech, Inc."
"Pegasys","false","Subcutaneous","180 mcg / 0.5 mL","Solution","false","Zr Pharma& Gmbh"
"Pegasys","false","Subcutaneous","180 mcg / mL","Solution","false","Hoffmann La Roche"
"Pegasys","false","Subcutaneous","180 ug/1mL","Injection, solution","false","Zr Pharma& Gmbh"
"Pegasys","false","Subcutaneous","180 ug/0.5mL","Injection, solution","false","Zr Pharma& Gmbh"
"Pegasys","false","Subcutaneous","135 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys","false","Subcutaneous","135 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys","false","Subcutaneous","180 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys","false","Subcutaneous","180 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys","false","Subcutaneous","135 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys","false","Subcutaneous","135 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys","false","Subcutaneous","180 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys","false","Subcutaneous","180 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys","false","Subcutaneous","135 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys","false","Subcutaneous","180 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys","false","Subcutaneous","135 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys","false","Subcutaneous","135 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys","false","Subcutaneous","135 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys","false","Subcutaneous","180 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys","false","Subcutaneous","180 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys","false","Subcutaneous","180 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys","false","Subcutaneous","90 μg","Injection, solution","false","Zr Pharma& Gmb H"
"Pegasys Rbv","false","Oral; Subcutaneous","","Solution; Tablet","false","Hoffmann La Roche"
"Pegasys Rbv","false","Oral; Subcutaneous","","Solution; Tablet","false","Hoffmann La Roche"
"Activase","false","Intravenous","50 mg/50mL","Injection, powder, lyophilized, for solution; Kit","false","Genentech, Inc."
"Activase","false","Intravenous","100 mg/100mL","Injection, powder, lyophilized, for solution; Kit","false","Genentech, Inc."
"Activase RT-PA","false","Intravenous","","Liquid; Powder, for solution","false","Hoffmann La Roche"
"Activase RT-PA","false","Intravenous","","Liquid; Powder, for solution","false","Hoffmann La Roche"
"Activase RT-PA Inj","false","Intravenous","50 mg/50mL","Powder, for solution","false","Hoffmann La Roche"
"Activase RT-PA Inj","false","Intravenous","50 mg/50mL","Powder, for solution","false","Hoffmann La Roche"
"Activase RT-PA Inj","false","Intravenous","50 mg/50mL","Powder, for solution","false","Hoffmann La Roche"
"Cathflo","false","Intravenous","2 mg / vial","Powder, for solution","false","Hoffmann La Roche"
"Cathflo Activase","false","Intravenous","2.2 mg/2mL","Injection, powder, lyophilized, for solution","false","Genentech, Inc."
"Lysatec RT - Pa","false","Intravenous","","Powder, for solution","false","Genentech, Inc."
"Wellferon Inj 10 000 000unit/ml","false","Intramuscular; Subcutaneous","10000000 unit / mL","Liquid","false","The Wellcome Foundation Ltd."
"Wellferon Inj 3000000unit/ml","false","Intramuscular; Subcutaneous","3000000 unit / mL","Liquid","false","The Wellcome Foundation Ltd."
"Aranesp","false","Intravenous; Subcutaneous","200 ug/0.4mL","Injection, solution","false","Physicians Total Care, Inc."
"Aranesp","false","Intravenous; Subcutaneous","300 ug/0.6mL","Injection, solution","false","Physicians Total Care, Inc."
"Aranesp","false","Intravenous; Subcutaneous","500 ug/1mL","Injection, solution","false","Physicians Total Care, Inc."
"Aranesp","false","Intravenous; Subcutaneous","200 ug/1mL","Solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","300 ug/1mL","Solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","25 ug/1mL","Solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","40 ug/1mL","Solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","60 ug/1mL","Solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","100 ug/1mL","Solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","150 ug/0.75mL","Solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","200 ug/0.4mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","300 ug/0.6mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","500 ug/1mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","60 ug/0.3mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","100 ug/0.5mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","150 ug/0.3mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","25 ug/0.42mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","40 ug/0.4mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","60 ug/0.3mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","100 ug/0.5mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","150 ug/0.3mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","200 ug/0.4mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","300 ug/0.6mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","500 ug/1mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","40 ug/.4mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","25 ug/0.42mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","150 ug/0.75mL","Solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","10 ug/0.4mL","Injection, solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","200 ug/1mL","Solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","300 ug/1mL","Solution","false","AMGEN INC"
"Aranesp","false","Intravenous; Subcutaneous","25 ug/1mL","Solution","false","AMGEN INC"
